Name,Dates,Topic,Leader,Participant
Kick Off,"January 10, 2024",Architecture,,
01장: 신뢰할 수 있고 확장 가능하며 유지보수하기 쉬운 애플리케이션,"January 10, 2024",Architecture,,
02장: 데이터 모델과 질의 언어,"January 10, 2024",Architecture,,
03장: 저장소와 검색,"January 10, 2024",Architecture,,
04장: 부호화와 발전,"January 10, 2024",Architecture,,
05장: 복제,"January 10, 2024",Architecture,,
06장: 파티셔닝,"January 10, 2024",Architecture,,
07장: 트랜잭션,"January 10, 2024",Architecture,,
08장: 분산 시스템의 골칫거리,"January 10, 2024",Architecture,,
09장: 일관성과 합의,"January 10, 2024",Architecture,,
10장: 일괄 처리,"January 10, 2024",Architecture,,
11장: 스트림 처리,"January 10, 2024",Architecture,,
12장: 데이터 시스템의 미래,"January 10, 2024",Architecture,,
07장: 사례연구- 백엔드 마이크로서비스 구현 - 3,"January 10, 2024",Architecture,,
08장: CQRS 패턴을 활용한 백엔드 마이크로서비스 개발 - 1,"January 10, 2024",Architecture,,
08장: CQRS 패턴을 활용한 백엔드 마이크로서비스 개발 - 2,"January 10, 2024",Architecture,,
09장: 사례 연구 - 시연 수행,"January 10, 2024",Architecture,,
10장: 애플리케이션 통합과 배포,"January 10, 2024",Architecture,,
